# Logging touchpad events from /dev/input/by-path/platform-AMDI0010:03-event-mouse
# Press Enter to insert a label marker, Ctrl+C to stop
# timestamp_ms, event, x, y, dx, dy, displacement

   11919.8, FINGER_DOWN, , , , ,
   11919.9, TOUCH, 757, 545, 0, 0, 0.0
   11937.0, MOVE, 756, 544, -1, -1, 1.4
   11944.0, MOVE, 756, 542, 0, -2, 2.0
   11951.1, MOVE, 756, 538, 0, -4, 4.0
   11958.2, MOVE, 756, 532, 0, -6, 6.0
   11965.4, MOVE, 757, 525, 1, -7, 7.1
   11972.4, MOVE, 759, 517, 2, -8, 8.2
   11979.4, MOVE, 761, 509, 2, -8, 8.2
   11986.5, MOVE, 764, 501, 3, -8, 8.5
   11993.6, MOVE, 766, 491, 2, -10, 10.2
   12000.7, MOVE, 768, 482, 2, -9, 9.2
   12007.8, MOVE, 769, 472, 1, -10, 10.0
   12014.8, MOVE, 770, 464, 1, -8, 8.1
   12021.9, MOVE, 771, 457, 1, -7, 7.1
   12029.0, MOVE, 771, 451, 0, -6, 6.0
   12036.1, MOVE, 771, 446, 0, -5, 5.0
   12043.1, MOVE, 772, 442, 1, -4, 4.1
   12050.2, MOVE, 772, 438, 0, -4, 4.0
   12057.3, MOVE, 772, 435, 0, -3, 3.0
   12064.4, MOVE, 772, 433, 0, -2, 2.0
   12072.1, MOVE, 772, 432, 0, -1, 1.0
   12078.5, MOVE, 772, 430, 0, -2, 2.0
   12085.6, MOVE, 773, 427, 1, -3, 3.2
   12092.7, MOVE, 774, 423, 1, -4, 4.1
   12099.8, MOVE, 775, 418, 1, -5, 5.1
   12106.8, MOVE, 776, 413, 1, -5, 5.1
   12113.9, MOVE, 777, 408, 1, -5, 5.1
   12121.0, MOVE, 778, 402, 1, -6, 6.1
   12128.1, MOVE, 780, 397, 2, -5, 5.4
   12135.2, MOVE, 781, 392, 1, -5, 5.1
   12142.2, MOVE, 781, 388, 0, -4, 4.0
   12149.3, MOVE, 782, 386, 1, -2, 2.2
   12156.4, MOVE, 782, 384, 0, -2, 2.0
   12163.4, MOVE, 782, 383, 0, -1, 1.0
   12170.5, MOVE, 783, 380, 1, -3, 3.2
   12178.3, MOVE, 785, 375, 2, -5, 5.4
   12184.7, MOVE, 787, 370, 2, -5, 5.4
   12191.8, MOVE, 789, 366, 2, -4, 4.5
   12198.9, MOVE, 791, 361, 2, -5, 5.4
   12205.9, MOVE, 793, 357, 2, -4, 4.5
   12213.0, MOVE, 794, 353, 1, -4, 4.1
   12220.1, MOVE, 795, 351, 1, -2, 2.2
   12298.0, MOVE, 795, 350, 0, -1, 1.0
   12368.8, MOVE, 797, 352, 2, 2, 2.8
   12375.9, FINGER_UP, , , , ,

# --- gesture 1 ---
# LABEL: intentional
   21744.0, FINGER_DOWN, , , , ,
   21744.1, TOUCH, 1337, 438, 0, 0, 0.0
   21803.3, FINGER_UP, , , , ,
   21926.5, FINGER_DOWN, , , , ,
   21926.6, TOUCH, 1281, 592, 0, 0, 0.0
   22631.6, MOVE, 1284, 593, 3, 1, 3.2
   22638.8, FINGER_UP, , , , ,

# --- gesture 2 ---
# LABEL: accidental
   33310.5, FINGER_DOWN, , , , ,
   33310.5, TOUCH, 0, 392, 0, 0, 0.0
   33342.2, FINGER_UP, , , , ,
   33366.2, FINGER_DOWN, , , , ,
   33366.2, TOUCH, 1268, 498, 0, 0, 0.0
   33866.2, MOVE, 1269, 498, 1, 0, 1.0
   33873.3, MOVE, 1297, 502, 28, 4, 28.3
   33880.4, FINGER_UP, , , , ,

# --- gesture 3 ---
# LABEL: accidental
   35997.0, FINGER_DOWN, , , , ,
   35997.0, TOUCH, 17, 433, 0, 0, 0.0
   36056.2, FINGER_UP, , , , ,

# --- gesture 4 ---
# LABEL: accidental
   47286.9, FINGER_DOWN, , , , ,
   47286.9, TOUCH, 12, 449, 0, 0, 0.0
   47296.7, MOVE, 13, 449, 1, 0, 1.0
   47303.7, MOVE, 14, 448, 1, -1, 1.4
   47310.8, MOVE, 16, 447, 2, -1, 2.2
   47317.9, MOVE, 18, 447, 2, 0, 2.0
   47360.5, FINGER_UP, , , , ,

# --- gesture 5 ---
# LABEL: accidental
   53342.2, FINGER_DOWN, , , , ,
   53342.2, TOUCH, 8, 435, 0, 0, 0.0
   53479.7, MOVE, 10, 435, 2, 0, 2.0
   53486.8, MOVE, 11, 435, 1, 0, 1.0
   53493.9, MOVE, 13, 435, 2, 0, 2.0
   53501.0, MOVE, 15, 434, 2, -1, 2.2
   53508.1, MOVE, 16, 434, 1, 0, 1.0
